
"Issue Id","Issue Type","Epic Name","Summary","Description","Parent","Module","Component","Execution Context","Acceptance Criteria","Story Points","Assignee","Reporter","Priority","Labels","Fix Versions","Sprint","Original Estimate","Remaining Estimate","Due Date","Attachment URL","External Id","Manifest Path","QA Status","Estimate Confidence"
"ST-SF-004","Story","Procedure registration (CI & fallback)","Provide registration scripts: register_all_procs.sh (snowsql) and register_via_connector.py (connector fallback)","Make registration runnable in CI using either snowsql or the Python connector and include idempotent create/replace semantics.","EPIC-SF-DG-MVP","Snowflake","Registration","DevOps/CI","Registration script runs end-to-end in CI and procedures are callable after script completes.","5","onboarding@techkasetti.com","onboarding@techkasetti.com","Highest","ci,register","v0.1-MVP","Sprint 1","7200","7200","","SFDG.SF.REG.004","register/register_all_procs.sh; infra/register_via_connector.py; register/create_procedures_register.sql","Planned","High"
"SUB-SF-004-01","Sub-task","Implement register_all_procs.sh (snowsql)","Script to PUT Python files to @~ and execute CREATE PROCEDURE SQL using snowsql","Implement register_all_procs.sh with logging, error handling and overwrite semantics.","ST-SF-004","Snowflake","Registration Script","CI","Script runs successful PUT and CREATE PROCEDURE; logs captured in CI artifacts.","3","onboarding@techkasetti.com","onboarding@techkasetti.com","High","snowsql,script","v0.1-MVP","Sprint 1","3600","3600","","SFDG.SF.REG.004.S1","register/register_all_procs.sh","Planned","High"
"ST-SF-005","Story","External Functions & API_INTEGRATION","Register API_INTEGRATION and EXTERNAL FUNCTIONs for similarity and agent endpoints","Create API_INTEGRATION AI_FEATURE_HUB.ai_feature_integration and EXTERNAL FUNCTIONs SIMILARITY_QUERY and AGENT_RUN using your API gateway host/role ARN.","EPIC-SF-DG-MVP","Snowflake","External Functions","Snowflake","External functions created and example SELECT AI_FEATURE_HUB.SIMILARITY_QUERY(...) returns reachable JSON when container + gateway are up.","8","onboarding@techkasetti.com","onboarding@techkasetti.com","Highest","external-function,api","v0.1-MVP","Sprint 1","14400","14400","","SFDG.SF.EXTFN.005","sql/external_functions_register.sql; infra/snowflake_provisioning.py","Planned","High"
"SUB-SF-005-01","Sub-task","Create API_INTEGRATION record","SQL to CREATE API INTEGRATION with API_AWS_ROLE_ARN and allowed prefixes","Edit sql/external_functions_register.sql with API_AWS_ROLE_ARN and API gateway host, then execute as admin.","ST-SF-005","Snowflake","API Integration","Snowflake","API_INTEGRATION exists and SHOW INTEGRATIONS returns expected config.","3","onboarding@techkasetti.com","onboarding@techkasetti.com","High","api-integration","v0.1-MVP","Sprint 1","3600","3600","","SFDG.SF.EXTFN.005.S1","sql/external_functions_register.sql","Planned","High"
"ST-SF-006","Story","FAISS index builder & container (PoC for MVP)","Build FAISS index from Snowflake vectors and provide container skeleton to serve similarity queries","Extract vectors, build index file, upload to S3, produce manifest and Dockerfile for FAISS agent; document registry push & gateway config.","EPIC-SF-DG-MVP","Snowflake","ANN/FAISS","Infra","FAISS index uploaded to S3 and container registered behind API gateway returning top‑K results for sample query.","8","onboarding@techkasetti.com","onboarding@techkasetti.com","High","faiss,ann","v0.1-MVP","Sprint 2","14400","14400","","SFDG.SF.FAISS.006","faiss/production_faiss_builder_v2.py; faiss/Dockerfile; infra/deploy_faiss_snapshot.sh","Planned","High"
"SUB-SF-006-01","Sub-task","Build FAISS index & upload to S3","Run production_faiss_builder_v2.py with Snowflake creds and S3 target","Fetch embeddings with SQL, build IndexFlatL2 (or IVF per scale) and upload index file to S3; produce faiss_manifest.json.","ST-SF-006","Snowflake","FAISS Builder","Infra","S3 contains index file and manifest.json; sample query against container returns expected ids.","5","onboarding@techkasetti.com","onboarding@techkasetti.com","High","faiss,upload","v0.1-MVP","Sprint 2","7200","7200","","SFDG.SF.FAISS.006.S1","faiss/production_faiss_builder_v2.py","Planned","High"
"ST-SF-007","Story","Masking, Row Policies & Grants","Create masking policy(s), row access policy(s) and initial GRANTs for service roles","Create MASKING POLICY for provenance fields and ROW ACCESS POLICY skeleton; apply to columns and grant least privilege to SERVICE_ROLE.","EPIC-SF-DG-MVP","Snowflake","Security","Snowflake","Policies created and applied; queries as non‑privileged roles see masked values or denied rows as designed.","5","onboarding@techkasetti.com","onboarding@techkasetti.com","High","policy,grants","v0.1-MVP","Sprint 2","7200","7200","","SFDG.SF.SEC.007","sql/attach_policies_and_grants.sql; infra/snowflake_provisioning.py","Planned","High"
"SUB-SF-007-01","Sub-task","Create & attach MASKING policy","Create masking policy and attach to DOCUMENT_EMBEDDINGS.provenance_id","Execute sql/attach_policies_and_grants.sql after reviewing role names; verify masking behavior with sample queries under different roles.","ST-SF-007","Snowflake","Masking","Snowflake","Masked value returned for unprivileged role and full value for compliance/admin role.","3","onboarding@techkasetti.com","onboarding@techkasetti.com","High","masking,pii","v0.1-MVP","Sprint 2","3600","3600","","SFDG.SF.SEC.007.S1","sql/attach_policies_and_grants.sql","Planned","High"
"ST-SF-008","Story","Deterministic billing tests & smoke harness","Implement deterministic test (pytest) + smoke shell script to validate ingestion→entitlement→billing preview path","Provide tests/test_deterministic_billing.py and tests/smoke/full_acceptance_smoke.sh that assert invoice_hash and line_items.","EPIC-SF-DG-MVP","Snowflake","Tests","CI/Dev","pytest deterministic test passes; smoke harness returns success and DB rows persisted as expected.","8","onboarding@techkasetti.com","onboarding@techkasetti.com","Highest","tests,smoke","v0.1-MVP","Sprint 1","14400","14400","","SFDG.SF.TEST.008","tests/test_deterministic_billing.py; tests/smoke/full_acceptance_smoke.sh; tests/sql/billing_unit_tests_extended.sql","Planned","High"
"SUB-SF-008-01","Sub-task","Implement deterministic pytest test","Add tests/test_deterministic_billing.py that seeds a deterministic fixture and asserts invoice_hash exactly","Use canonical JSON serialization + sha256 to compute expected invoice_hash locally and compare to SP output.","ST-SF-008","Snowflake","Unit Test","CI","Deterministic test returns PASS in CI and locally with SNOW_* creds set.","5","onboarding@techkasetti.com","onboarding@techkasetti.com","Highest","pytest,billing","v0.1-MVP","Sprint 1","7200","7200","","SFDG.SF.TEST.008.S1","tests/test_deterministic_billing.py","Planned","High"
"ST-SF-009","Story","CI Workflow","Add CI workflow to register procs, deploy DDL, run smoke & run deterministic tests","Create .github/workflows/ci.yml to execute registration, DDL deploy and tests in order; upload logs as artifacts.","EPIC-SF-DG-MVP","Snowflake","CI","GitHub Actions","CI run completes registration + smoke + pytest with artifacts attached; failures block merge.","5","onboarding@techkasetti.com","onboarding@techkasetti.com","Highest","ci,github","v0.1-MVP","Sprint 1","7200","7200","","SFDG.SF.CI.009",".github/workflows/ci.yml","Planned","High"
"ST-SF-010","Story","Deploy & smoke runbook & ordered deploy script","Create deploy script that stages Python files to @~ and runs CREATE TABLE/CREATE PROCEDURE in safe order, and provide smoke queries","Provide a single deploy script that executes DDL then registers procs then runs smoke checks and deterministic test.","EPIC-SF-DG-MVP","Snowflake","Deploy","Ops","Deploy script runs in sequence and smoke checks succeed; rollbacks documented.","8","onboarding@techkasetti.com","onboarding@techkasetti.com","Highest","deploy,runbook","v0.1-MVP","Sprint 1","14400","14400","","SFDG.SF.DEPLOY.010","deploy/deploy_snowflake_procs.sh; infra/register_via_connector.py; tests/smoke/","Planned","High"
